applicant_id,annual_income,loan_amount,credit_score,employment_type,loan_purpose,debt_to_income,credit_utilization,repayment_history_score,num_late_payments,default_actual,default_probability,credit_risk_score,risk_band,decision
APP026551,120000.0,118814.0,746,salaried,home_loan,0.9901,0.5682,100.0,0,0,0.0074,896,Very Low,Auto-Approve
APP012497,120000.0,158058.0,626,self_employed,personal_loan,1.3171,0.1686,100.0,0,0,0.0089,895,Very Low,Auto-Approve
APP012940,120000.0,336941.0,772,salaried,business,2.8078,0.4029,100.0,1,0,0.0056,897,Very Low,Auto-Approve
APP008048,120000.0,76410.0,336,salaried,auto_loan,0.6368,0.3633,86.8,0,0,0.0916,845,Very Low,Auto-Approve
APP037452,120000.0,141404.0,660,salaried,business,1.1784,0.4416,97.0,1,0,0.0035,898,Very Low,Auto-Approve
APP038256,120000.0,231882.0,586,salaried,auto_loan,1.9323,0.1363,81.3,1,0,0.1321,821,Low,Approve
APP004535,120000.0,276496.0,647,salaried,personal_loan,2.3041,0.4906,100.0,0,1,0.0268,884,Very Low,Auto-Approve
APP044708,120000.0,522049.0,713,salaried,home_loan,4.3504,0.1703,100.0,0,0,0.4798,612,High,Decline
APP024459,123784.0,386258.0,526,freelance,home_loan,3.1204,0.2839,96.3,0,0,0.9663,320,Very High,Decline
APP008826,214986.0,372713.0,467,self_employed,home_loan,1.7337,0.1069,69.35,0,1,0.86,384,Very High,Decline
APP032255,120000.0,273543.0,654,salaried,auto_loan,2.2795,0.1138,100.0,0,0,0.0144,891,Very Low,Auto-Approve
APP007909,222609.0,1057608.0,322,salaried,education,4.751,0.0451,86.1,0,1,0.9449,333,Very High,Decline
APP048903,120000.0,66911.0,480,salaried,personal_loan,0.5576,0.3831,88.0,1,0,0.0929,844,Very Low,Auto-Approve
APP008256,120000.0,51935.0,340,self_employed,home_loan,0.4328,0.309,81.0,1,0,0.1303,822,Low,Approve
APP013699,120000.0,545219.0,739,salaried,business,4.5435,0.1951,88.95,3,1,0.4274,644,Medium,Manual Review
APP023885,285398.0,697353.0,514,salaried,auto_loan,2.4434,0.1079,95.7,0,0,0.5391,577,High,Decline
APP009101,120000.0,73101.0,701,salaried,personal_loan,0.6092,0.2394,99.05,1,0,0.0079,895,Very Low,Auto-Approve
APP012975,120000.0,74462.0,641,freelance,personal_loan,0.6205,0.1244,100.0,0,0,0.0178,889,Very Low,Auto-Approve
APP002740,193448.0,706998.0,795,self_employed,home_loan,3.6547,0.2734,100.0,1,0,0.0676,859,Very Low,Auto-Approve
APP049667,120000.0,211429.0,749,self_employed,business,1.7619,0.1509,95.45,2,0,0.0137,892,Very Low,Auto-Approve
APP033633,120000.0,363689.0,456,salaried,personal_loan,3.0307,0.1121,86.8,1,1,0.9412,335,Very High,Decline
APP022592,120000.0,136423.0,457,salaried,personal_loan,1.1369,0.5317,86.85,1,1,0.6219,527,High,Decline
APP049481,233945.0,405355.0,662,self_employed,personal_loan,1.7327,0.18,100.0,0,0,0.0038,898,Very Low,Auto-Approve
APP018096,120000.0,243033.0,576,salaried,auto_loan,2.0253,0.4371,92.8,1,0,0.0249,885,Very Low,Auto-Approve
APP000750,120000.0,371238.0,720,salaried,home_loan,3.0936,0.5114,88.0,1,1,0.8196,408,Very High,Decline
APP024612,120000.0,455470.0,750,freelance,personal_loan,3.7956,0.3963,95.5,2,1,0.4223,647,Medium,Manual Review
APP034439,120000.0,313996.0,677,salaried,personal_loan,2.6166,0.5571,97.85,1,0,0.0265,884,Very Low,Auto-Approve
APP037649,120000.0,79204.0,616,salaried,personal_loan,0.66,0.1914,94.8,1,0,0.0045,897,Very Low,Auto-Approve
APP023415,368874.0,1835256.0,450,salaried,personal_loan,4.9753,0.4505,92.5,0,1,0.9367,338,Very High,Decline
APP008088,396508.0,1427338.0,460,salaried,personal_loan,3.5998,0.0794,87.0,1,1,0.9582,325,Very High,Decline
APP049616,154400.0,441513.0,587,self_employed,education,2.8595,0.2879,81.35,1,1,0.3859,668,Medium,Manual Review
APP047231,168542.0,432656.0,828,salaried,education,2.5671,0.017,100.0,0,0,0.002,899,Very Low,Auto-Approve
APP040929,120000.0,168547.0,735,salaried,auto_loan,1.4046,0.1701,100.0,1,0,0.0127,892,Very Low,Auto-Approve
APP006392,197280.0,294852.0,830,salaried,personal_loan,1.4946,0.6274,100.0,1,0,0.0015,899,Very Low,Auto-Approve
APP036901,120000.0,296386.0,770,freelance,home_loan,2.4699,0.1773,96.5,2,0,0.0068,896,Very Low,Auto-Approve
APP042189,120000.0,24530.0,872,salaried,education,0.2044,0.488,100.0,1,0,0.0005,900,Very Low,Auto-Approve
APP046435,120000.0,170687.0,478,business_owner,personal_loan,1.4224,0.0728,93.9,0,0,0.3173,710,Medium,Manual Review
APP018101,120000.0,97641.0,520,salaried,auto_loan,0.8137,0.2077,78.0,1,0,0.1805,792,Low,Approve
APP038523,194948.0,144878.0,527,salaried,business,0.7432,0.1412,78.35,3,0,0.2818,731,Medium,Manual Review
APP016510,120000.0,41278.0,809,self_employed,auto_loan,0.344,0.547,92.45,1,0,0.0036,898,Very Low,Auto-Approve
APP019108,146707.0,731250.0,578,freelance,auto_loan,4.9844,0.2533,74.9,2,1,0.9757,315,Very High,Decline
APP027513,126873.0,121445.0,452,salaried,personal_loan,0.9572,0.4208,80.6,0,1,0.5241,586,High,Decline
APP033254,120000.0,375185.0,783,salaried,home_loan,3.1265,0.1859,100.0,0,0,0.0588,865,Very Low,Auto-Approve
APP049802,120000.0,482423.0,765,self_employed,home_loan,4.0202,0.469,100.0,1,0,0.1029,838,Low,Approve
APP023089,120000.0,349393.0,666,self_employed,auto_loan,2.9116,0.3047,97.3,1,0,0.0174,890,Very Low,Auto-Approve
APP034359,120000.0,476388.0,326,self_employed,auto_loan,3.9699,0.2831,74.3,2,1,0.9899,306,Very High,Decline
APP026360,120000.0,114732.0,489,self_employed,personal_loan,0.9561,0.2004,82.45,0,0,0.3932,664,Medium,Manual Review
APP048256,120000.0,457978.0,790,salaried,auto_loan,3.8165,0.4515,97.5,2,0,0.1427,814,Low,Approve
APP049885,120000.0,130313.0,836,freelance,education,1.0859,0.1791,100.0,0,0,0.0052,897,Very Low,Auto-Approve
APP019518,295281.0,531767.0,342,self_employed,personal_loan,1.8009,0.4768,81.1,1,1,0.3646,681,Medium,Manual Review
APP006170,307437.0,1301229.0,897,self_employed,personal_loan,4.2325,0.2345,100.0,0,0,0.054,868,Very Low,Auto-Approve
APP040170,120000.0,35429.0,584,self_employed,personal_loan,0.2952,0.1851,93.2,1,0,0.0086,895,Very Low,Auto-Approve
APP041736,120000.0,245149.0,826,business_owner,personal_loan,2.0429,0.0719,100.0,0,0,0.0006,900,Very Low,Auto-Approve
APP002166,120000.0,258702.0,448,salaried,business,2.1559,0.3127,68.4,2,1,0.7957,423,Very High,Decline
APP027683,120000.0,324456.0,750,business_owner,education,2.7038,0.1677,89.5,1,0,0.0451,873,Very Low,Auto-Approve
APP044814,120000.0,298184.0,364,business_owner,business,2.4849,0.2326,82.2,1,0,0.3127,712,Medium,Manual Review
APP045054,120000.0,520439.0,863,salaried,personal_loan,4.337,0.2952,100.0,1,0,0.0639,862,Very Low,Auto-Approve
APP049513,120000.0,540845.0,456,salaried,personal_loan,4.507,0.1354,86.8,1,1,0.9317,341,Very High,Decline
APP026122,181709.0,129700.0,838,freelance,personal_loan,0.7138,0.4239,99.9,2,0,0.0023,899,Very Low,Auto-Approve
